filename,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,delta1_mean,delta2_mean,delta3_mean,delta4_mean,delta5_mean,delta6_mean,delta7_mean,delta8_mean,delta9_mean,delta10_mean,delta11_mean,delta12_mean,delta13_mean,delta1_std,delta2_std,delta3_std,delta4_std,delta5_std,delta6_std,delta7_std,delta8_std,delta9_std,delta10_std,delta11_std,delta12_std,delta13_std,delta2_1_mean,delta2_2_mean,delta2_3_mean,delta2_4_mean,delta2_5_mean,delta2_6_mean,delta2_7_mean,delta2_8_mean,delta2_9_mean,delta2_10_mean,delta2_11_mean,delta2_12_mean,delta2_13_mean,delta2_1_std,delta2_2_std,delta2_3_std,delta2_4_std,delta2_5_std,delta2_6_std,delta2_7_std,delta2_8_std,delta2_9_std,delta2_10_std,delta2_11_std,delta2_12_std,delta2_13_std,label
aug_noise_heavy_Zeynep_Sude_Ertas_wake_1.wav,-199.29872,6.702425,1.0622903,0.9240096,0.51103467,-0.4838019,0.12042563,0.11758707,0.16608831,0.5822712,0.18080683,0.4664133,0.13905711,226.38257,12.757343,8.39132,9.539417,5.1974845,6.8093286,3.6558936,5.1050587,4.2551827,3.547288,4.7387667,4.1481543,3.3949876,-5.7092824,0.017079681,0.02267006,-0.060108997,-0.11637626,-0.07873655,-0.02007598,-0.030222535,-0.06540375,-0.07418163,-0.04324609,0.0077259834,-0.009285161,19.886625,1.793812,2.0689487,2.3360147,1.0038514,1.5756149,0.82420987,0.97866094,0.93385714,0.6256798,0.66753745,0.8199752,0.65473,-0.14131054,-0.021652019,-0.030319637,-0.026452515,-0.040860116,-0.041217472,-0.015945382,-0.0023803508,0.01883715,0.046200838,0.011147479,-0.026439702,-0.028122498,8.611822,0.8837541,1.3201926,1.2693061,0.7134498,0.94376844,0.46791217,0.6819807,0.5358351,0.39327484,0.49550998,0.57125574,0.52932787,1
aug_noise_heavy_Huseyin_Cakmak_wake1.wav,-435.74554,0.22880486,0.62589115,0.44535944,0.26267564,-0.91991866,-0.482701,-0.57512826,0.14735155,-0.2594136,-0.5879203,-0.53322554,0.089886025,338.5414,4.471934,2.510932,4.450969,2.4054534,2.730688,3.1891644,2.5783708,2.3004966,2.1004522,2.1073084,1.6856711,2.2751572,-6.999426,0.051317014,-0.03344301,-0.051244296,-0.040497158,0.022128496,0.020533815,0.0003335476,-0.02317888,0.008541102,0.03246769,-0.020023491,-0.026146749,24.392056,0.9436955,0.56611246,1.0205827,0.5386356,0.42082444,0.6195074,0.46012837,0.46489617,0.408896,0.2826527,0.2399306,0.28518102,-0.12396622,-0.0007027565,0.021042457,0.029168043,-0.0016083173,-0.007671496,-0.019737858,0.01108665,0.022167912,-0.03831088,-0.06302383,-0.013972983,-0.0065097227,10.713026,0.704313,0.32792848,0.60113794,0.33890972,0.3639512,0.47249576,0.28566074,0.35581854,0.27849334,0.36580247,0.24869421,0.19587755,1
aug_speed_fast_Yunus_Akinci_wake_1.wav,-769.6305,42.735577,5.0537753,14.110737,0.23729032,-2.4217918,-4.4775815,-6.41766,2.3611178,0.1770893,-1.6183944,2.3932898,1.3184681,182.3923,69.57289,26.3777,26.455536,16.676716,8.459976,13.764398,12.681146,7.6790285,9.49961,8.033842,6.475858,4.8496246,-0.64950645,-0.025025418,-0.084428646,-0.08800454,-0.081098005,-0.072681375,-0.037177872,0.004981599,-0.025323838,-0.0047247256,-0.00287547,-0.010388182,-0.042833537,24.08801,14.027157,6.2904797,4.81829,3.595322,1.6611868,2.7674978,2.5695403,1.5337616,1.9399246,1.8222246,1.4387276,1.0677013,-0.11138007,-0.006124344,0.017126672,0.05492938,0.08375681,0.022094278,-0.0005157831,-0.03954141,-0.0023859383,0.034426697,0.019616466,0.029084243,-0.0059792236,10.216796,7.2902703,4.075597,2.152957,1.862162,0.8842791,1.2054392,1.449217,0.8537576,1.0629137,0.9918677,0.9568786,0.732587,1
aug_noise_light_Hanife_Cilingir_wake_1.wav,-148.80235,8.991207,2.1617954,2.2993054,-3.4282289,-5.4471145,-1.3997121,-3.3393202,-4.1401954,-1.3968418,-2.2557566,-2.8677728,-1.4029999,26.340828,17.83511,9.406179,12.8044405,7.8033514,10.80302,5.9549546,6.0816193,6.852199,4.9785604,4.1935344,5.617904,5.210654,0.041099336,-0.04849137,-0.024408376,-0.05558267,-0.008675946,0.051611666,-0.010082389,0.0103436895,-0.012822011,-0.042876758,-0.0050312006,0.05997798,0.016528383,4.7923217,2.5233314,2.1314669,2.7713058,1.6368961,2.0864208,1.0838608,1.0385857,1.1725028,0.79925317,0.62221986,0.8483206,0.7418359,-0.15489519,-0.023983626,-0.022295684,-0.02073961,0.043479893,-0.031082932,-0.036053192,0.021346455,0.034779523,0.0042640124,0.032016188,-0.009826404,0.03230066,2.7532814,1.636678,1.2042528,1.3525095,0.97139776,1.3380725,0.7818824,0.56522363,0.5755664,0.5283926,0.46063888,0.62071544,0.5702151,1
aug_speed_slow_Yunus_Akinci_wake_1.wav,-737.1664,49.16089,5.561509,17.904575,0.81819314,-2.9000802,-5.7468896,-7.9782434,2.9481156,0.8050515,-1.4938414,3.3428774,1.3850983,179.65376,74.10844,29.88519,28.761223,20.343006,8.797259,14.445175,13.738291,8.3495865,10.509797,9.098396,7.014478,5.8890185,-0.9815789,-0.021500284,0.0030081526,-0.06808994,-0.10649291,-0.040701557,-0.036313705,0.02637349,-0.042663928,-0.06259804,-0.022884382,-0.032589152,-0.0777268,25.219324,15.703763,7.1897006,5.012378,4.4619584,1.6714908,2.7608926,2.8215156,1.73909,2.0314803,2.053434,1.4638027,1.3532867,0.0825187,0.01634062,-0.02131519,-0.03313913,-0.014810384,-0.007907639,-0.018537845,-0.006602177,-0.0021053678,0.0011050144,-0.015774598,-0.026567103,-0.018925332,9.725367,7.107923,4.029878,2.137197,2.0120113,0.9507481,1.1576833,1.4902893,1.0498986,1.0181952,0.9865331,0.7856064,0.923793,1
Mesut_Sarsıcı_Wake_1.wav,-603.43317,43.865173,13.010587,27.981056,6.2317457,-0.99473363,1.9932468,-5.510114,-0.16357191,-2.1656787,-3.9783442,-0.73625165,-1.932873,197.04503,60.903778,34.858257,38.433987,14.626,13.438397,15.354139,14.299771,9.48314,7.3210077,9.987809,8.188912,6.029348,-0.00022588758,-0.00031775617,-0.00031717788,-0.00031605174,-0.00031459078,-0.00031267328,-0.0003103043,-0.00030753968,-0.00030433372,-0.00030073206,-0.00029673096,-0.00029232146,-0.00028750364,29.156963,10.655581,8.076106,5.970385,3.0034225,2.915806,2.888746,3.3614724,1.864018,1.4358547,2.1338098,1.7807881,1.2235647,-0.00026325518,-0.0003714866,-0.0003707409,-0.00036944734,-0.00036768202,-0.0003654399,-0.00036269045,-0.00035945405,-0.0003557053,-0.00035151016,-0.00034682802,-0.0003416589,-0.00033604592,13.238265,5.7269163,5.1022997,2.7810893,2.1003284,1.8288711,1.3772801,2.0653112,1.3788439,1.0290791,1.0671618,1.128591,0.75277275,1
aug_pitch_high_zeynep_can_wake_1.wav,-588.8633,40.280376,-11.703914,4.757285,-14.244567,-6.725085,2.5659037,-8.858064,-6.4525976,0.5395601,-3.2484722,-1.3450375,-1.6042603,173.16733,45.728687,32.680458,12.147108,22.123653,14.356603,6.682162,14.504606,9.717215,5.194288,6.9484005,8.080364,6.9728045,-1.1336013,-0.7082787,0.031877395,-0.23997249,-0.028976953,0.24155067,0.052023087,-0.04797064,-0.04867014,-0.047015376,-0.14553528,-0.26022235,-0.069147564,19.558342,5.520992,7.4390125,2.382399,3.8851078,2.9461405,1.1986749,2.08795,1.3886316,1.0682501,1.2639174,1.7641913,0.92123693,0.28960532,0.042326875,-0.1649064,0.065764755,-0.014058194,-0.10375497,-0.012445247,-0.011193722,-0.014476579,-0.012978168,0.016303362,0.061536748,-0.03150367,8.055894,2.3488204,3.970583,1.371833,1.8763098,1.2660047,0.8589385,1.0641502,0.6847306,0.7559427,0.740742,0.69769293,0.42445242,1
aug_noise_heavy_Ahmet_Selim_Kucukaydin_wake_1.wav,-313.75012,-0.19202842,1.2414246,0.9058322,0.5813239,0.94871026,0.5706597,0.11914245,0.95050424,0.47996545,-0.18354213,-0.6529814,-0.9443251,335.48514,4.536969,3.534923,3.385537,4.2743826,2.6282928,2.259996,2.1797767,2.6114938,2.9069228,2.7376244,2.595765,2.6588743,-7.784666,-0.0043893596,0.0017916345,-0.007585789,0.011445003,-0.01490613,0.0047615287,0.035860367,0.002782875,-0.004323164,0.032332513,0.050539624,0.06684532,26.22633,0.80946416,0.64134234,0.5310471,0.6523113,0.42278367,0.45269004,0.347501,0.34434912,0.46921566,0.49875125,0.49660444,0.5291988,-0.124628395,-0.034490567,-0.0053942525,0.0034635854,-0.024687793,-0.032472093,-0.016742697,-0.001690134,-0.018820098,-0.008768132,-0.03579887,-0.025993956,-0.029953556,10.972418,0.57760155,0.32106072,0.3967354,0.5625847,0.41146207,0.3696697,0.31113657,0.3448316,0.37093922,0.4551161,0.37010524,0.367167,1
aug_speed_slow_Hasan_Arthur_Altuntaş_wake.wav,-311.1662,105.80072,7.7276516,13.470641,-5.3219943,-4.740623,-16.145903,1.2212831,-5.374979,-12.635135,-6.592635,-9.30401,-8.414053,132.11816,40.272068,17.035877,23.84352,9.398189,10.548486,16.713942,8.022835,8.150735,10.390397,8.070133,8.39136,7.1028748,1.5210601,1.4224349,0.3288506,-0.06736744,-0.054866955,-0.07137643,-0.02991496,0.08123655,0.047537565,-0.15155005,-0.19225739,-0.074863344,-0.11686208,13.878572,8.964931,3.3325758,4.5756826,2.1883159,2.1626678,2.5108154,1.4518715,1.0415525,1.7524353,1.5678759,1.4013224,1.4032794,-0.2215652,-0.33177853,-0.07588958,0.07795288,-0.053713687,-0.016071783,0.03242157,-0.036506012,-0.03714724,0.032999173,0.07299071,0.030362103,0.011614711,4.770528,4.1520376,1.8459187,2.2745373,1.2730772,0.9803633,1.4638413,1.0990748,0.64729565,0.7730135,0.78286695,0.7655206,0.7628252,1
Mustafa_Sakalli_wake.wav,-654.1422,24.083735,-10.118759,17.943218,-3.6959515,2.7579725,-7.5443316,-0.38218072,-2.732502,0.9516849,-5.4759994,3.9420679,-4.997921,197.16261,44.147038,25.838882,31.394129,11.04007,10.815608,15.310804,9.724218,10.663228,4.7021675,12.368359,8.739408,10.861551,-8.732818e-07,6.087283e-08,-4.0581885e-08,-1.0145471e-08,-5.0727356e-09,0.0,-1.0145471e-08,-1.0145471e-08,5.0727356e-09,-5.0727356e-09,-5.0727356e-09,-1.0145471e-08,0.0,24.697674,7.79634,5.167057,4.740215,1.5675886,2.1495974,2.4570508,2.1823952,2.151586,0.71940005,2.3538735,1.431667,1.6840574,-2.8760865e-06,2.0290942e-08,2.0290942e-08,2.0290942e-08,0.0,1.0145471e-08,2.0290942e-08,2.0290942e-08,1.0145471e-08,0.0,-7.609104e-09,1.0145471e-08,1.5218207e-08,11.175606,4.375711,3.6193366,2.6590326,1.1532238,1.4269048,1.196368,1.7275578,1.2356514,0.57750636,1.1953014,0.7853441,1.2713963,1
aug_noise_light_Akif_Seckin_Bayram_wake_1.wav,-239.65855,6.3618574,4.4441223,4.978156,2.5697057,2.2158954,1.2299893,-0.037786484,-1.2468051,-0.7037484,-0.4761032,-1.0437042,-1.1095976,192.51337,16.502874,7.758098,11.777571,5.6965895,5.625863,4.587641,3.4784482,3.7147777,4.4845524,4.956981,3.958386,3.6431048,-5.151275,0.06211643,0.036343787,-0.020606898,-0.03169014,0.0018465519,0.018755084,-0.0039932565,-0.007881025,-0.024116207,-0.0024758007,0.047559977,-0.002811184,18.237965,2.4067314,1.157814,2.830314,1.2487253,0.97273225,0.94731575,0.6773623,0.62062097,0.83222634,1.0366448,0.6839069,0.54784375,-0.11272605,0.009967277,-0.0013204052,0.00064332434,-0.014904302,-0.013296969,0.04093487,0.029409809,0.009029256,0.034442168,-0.01594876,-0.026605576,0.012809961,8.225838,1.5998514,0.69512624,1.6058362,0.74814755,0.51908785,0.6220258,0.52928084,0.5293013,0.46496353,0.59887034,0.49985608,0.3347529,1
